t,label,cpu_pct_sum,rss_mb_sum,n_procs,idle_timeout_s
1788963120.4190755,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963120.620932,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963120.82292,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963121.0256264,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963121.227916,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963121.4298134,serverless_reactive:cyclical:0,5.0,164.85,4,8.0
1788963121.6316705,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963121.8338213,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963122.0356371,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963122.2377439,serverless_reactive:cyclical:0,4.9,164.85,4,8.0
1788963122.439723,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963122.6416483,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963122.8434424,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963123.045454,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963123.2481132,serverless_reactive:cyclical:0,9.8,164.85,4,8.0
1788963123.4501462,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963123.6522584,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963123.8542,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963124.056753,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963124.258721,serverless_reactive:cyclical:0,0.0,164.85,4,8.0
1788963124.4606047,serverless_reactive:cyclical:0,0.0,164.92,4,8.0
1788963124.6695452,serverless_reactive:cyclical:0,228.4,180.62,6,8.0
1788963124.8715055,serverless_reactive:cyclical:0,197.9,174.49,5,8.0
1788963125.077661,serverless_reactive:cyclical:0,194.2,148.3,4,8.0
1788963125.2812054,serverless_reactive:cyclical:0,201.3,164.75,4,8.0
1788963125.4842424,serverless_reactive:cyclical:0,4.9,164.76,4,8.0
1788963125.6865754,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963125.8884788,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963126.0905795,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963126.2925055,serverless_reactive:cyclical:0,5.0,164.76,4,8.0
1788963126.494405,serverless_reactive:cyclical:0,5.0,164.76,4,8.0
1788963126.696387,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963126.8987403,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963127.1006384,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963127.3026361,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963127.5047169,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963127.7072196,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963127.9091887,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963128.1111875,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963128.3132567,serverless_reactive:cyclical:0,4.9,164.76,4,8.0
1788963128.5152657,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963128.7174048,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963128.9196446,serverless_reactive:cyclical:0,4.9,164.76,4,8.0
1788963129.1217182,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963129.3236532,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963129.5259054,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963129.7279534,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963129.930399,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963130.1323323,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963130.3342466,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963130.5361052,serverless_reactive:cyclical:0,5.0,164.76,4,8.0
1788963130.7380188,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963130.9401286,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963131.1420815,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963131.3442147,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963131.5463634,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963131.7482526,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963131.950295,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963132.1521876,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963132.3542228,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963132.5561602,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963132.7587807,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963132.9607873,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963133.1628788,serverless_reactive:cyclical:0,4.9,164.76,4,8.0
1788963133.3648734,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963133.5668342,serverless_reactive:cyclical:0,0.0,164.76,4,8.0
1788963133.7688336,serverless_reactive:cyclical:0,0.0,122.26,3,8.0
1788963133.9706519,serverless_reactive:cyclical:0,0.0,79.76,2,8.0
1788963134.1723819,serverless_reactive:cyclical:0,5.0,37.2,1,8.0
1788963134.3821273,serverless_reactive:cyclical:0,4.8,113.38,4,8.0
1788963134.5899284,serverless_reactive:cyclical:0,206.9,146.93,4,8.0
1788963134.794595,serverless_reactive:cyclical:0,185.6,161.75,4,8.0
1788963134.9973626,serverless_reactive:cyclical:0,34.4,165.14,4,8.0
1788963135.1992812,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963135.4010782,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963135.6030748,serverless_reactive:cyclical:0,5.0,165.14,4,8.0
1788963135.8050475,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963136.0081232,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963136.210088,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963136.4119449,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963136.614262,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963136.8162074,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963137.0183687,serverless_reactive:cyclical:0,4.9,165.14,4,8.0
1788963137.220328,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963137.4223957,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963137.6243927,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963137.8265207,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963138.0285408,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963138.2308416,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963138.4328215,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963138.6351583,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963138.8369853,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963139.0393581,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963139.2414474,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963139.4433537,serverless_reactive:cyclical:0,5.0,165.14,4,8.0
1788963139.6452594,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963139.847294,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963140.0493689,serverless_reactive:cyclical:0,4.9,165.14,4,8.0
1788963140.25126,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963140.4534395,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963140.6552262,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963140.8570724,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963141.0590837,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963141.260994,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963141.4628534,serverless_reactive:cyclical:0,5.0,165.14,4,8.0
1788963141.6648211,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963141.8670943,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963142.0692556,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963142.2710826,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963142.4729164,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963142.6748736,serverless_reactive:cyclical:0,5.0,165.14,4,8.0
1788963142.8769329,serverless_reactive:cyclical:0,4.9,165.14,4,8.0
1788963143.0786157,serverless_reactive:cyclical:0,0.0,165.14,4,8.0
1788963143.2805562,serverless_reactive:cyclical:0,0.0,122.45,3,8.0
1788963143.4869015,serverless_reactive:cyclical:0,4.8,138.07,5,8.0
1788963143.6886566,serverless_reactive:cyclical:0,178.5,139.13,4,8.0
1788963143.8946862,serverless_reactive:cyclical:0,203.9,152.46,4,8.0
1788963144.0970404,serverless_reactive:cyclical:0,148.2,163.4,4,8.0
1788963144.298804,serverless_reactive:cyclical:0,19.9,165.06,4,8.0
1788963144.5007558,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963144.7028944,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963144.9049225,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963145.1069586,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963145.3089857,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963145.5110786,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963145.7130759,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963145.9150867,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963146.1176887,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963146.319493,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
