family,comparison,n_pairs,median_a,median_b,median_paired_diff_ms,hodges_lehmann_ms,hl_ci95_lo_ms,hl_ci95_hi_ms,wilcoxon_W,p_raw,rank_biserial_matched,signed_rank_sum_pos,signed_rank_sum_neg,p_holm_adjusted,significant_at_0.05_after_holm4
A (H4: predictor vs Reactive),EWMA vs Reactive,15,1749.3325229997936,1904.1002260000823,-172.24131600050896,-127.32969474973316,-242.04775149974057,-24.761418999787566,19.0,0.01806640625,-0.6833333333333333,19.0,101.0,0.01806640625,True
A (H4: predictor vs Reactive),Last-gap vs Reactive,15,1759.279122999942,1904.1002260000823,-143.15669199913805,-159.0920432502116,-210.93342899985146,-96.98677649930664,0.0,6.103515625e-05,-1.0,0.0,120.0,0.000244140625,True
A (H4: predictor vs Reactive),Moving-average vs Reactive,15,1756.332195998766,1904.1002260000823,-147.72211499985133,-143.47815225073668,-218.42177800044738,-70.90936950135085,7.0,0.00115966796875,-0.8833333333333333,7.0,113.0,0.0023193359375,True
A (H4: predictor vs Reactive),Fixed-schedule vs Reactive,15,1545.8886199994597,1904.1002260000823,-329.29963999959,-342.42921450004366,-401.202679999642,-292.62219100064635,0.0,6.103515625e-05,-1.0,0.0,120.0,0.000244140625,True
