condition,n_trials,mean_of_trial_median_ms,mean_p95_ms,mean_p99_ms,mean_cold_start_rate,opportunity_success_rate_pct,mean_wasted_prewarms_per_trial,mean_wasted_prewarm_rate_pct,violation_rate_pct_gt_50ms,violation_rate_pct_gt_100ms,violation_rate_pct_gt_200ms
-50pct_4.5s,15,148.42589319993445,652.4888776066837,674.2600686599877,0.14666666666666667,100.0,0.0,0.0,83.29,66.84,32.89
-25pct_6.75s,15,151.10427999998137,660.7772155332744,677.1014815693253,0.14666666666666667,100.0,0.0,0.0,84.0,67.73,33.07
-10pct_8.1s,15,147.66152226663203,648.9094914733929,667.7507412826902,0.14666666666666667,100.0,0.0,0.0,83.29,66.4,33.16
+0pct_9.0s,15,152.61579659997247,698.1650968933172,723.2139893467552,0.14666666666666667,100.0,0.0,0.0,84.0,67.82,34.84
+10pct_9.9s,15,407.2507104667845,652.781127380155,671.4409351052115,0.16,75.0,0.0,0.0,90.49,80.71,60.09
+25pct_11.25s,15,606.8059082665665,676.1832206267172,690.1148812267141,0.19111111111111112,16.67,0.0,0.0,100.0,99.82,98.13
+50pct_13.5s,15,618.385439000061,683.2169779666159,698.0722415026139,0.2,0.0,0.0,0.0,100.0,100.0,100.0
