t,label,cpu_pct_sum,rss_mb_sum,n_procs,sweep_pct,fixed_predicted_gap_s
1788965268.5346286,serverless_predictive_fixed:cyclical:0,4.9,164.86,4,-50,4.5
1788965268.7365634,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965268.9386096,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965269.1407073,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965269.34288,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965269.544845,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965269.746739,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965269.948743,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965270.1507244,serverless_predictive_fixed:cyclical:0,5.0,164.86,4,-50,4.5
1788965270.352681,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965270.5546765,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965270.7566667,serverless_predictive_fixed:cyclical:0,0.0,164.86,4,-50,4.5
1788965270.9589164,serverless_predictive_fixed:cyclical:0,0.0,164.93,4,-50,4.5
1788965271.160918,serverless_predictive_fixed:cyclical:0,4.9,122.4,3,-50,4.5
1788965271.3630214,serverless_predictive_fixed:cyclical:0,0.0,122.4,3,-50,4.5
1788965271.5649128,serverless_predictive_fixed:cyclical:0,0.0,112.71,3,-50,4.5
1788965271.7667773,serverless_predictive_fixed:cyclical:0,109.0,79.22,2,-50,4.5
1788965271.9687629,serverless_predictive_fixed:cyclical:0,5.0,79.88,2,-50,4.5
1788965272.170622,serverless_predictive_fixed:cyclical:0,0.0,79.88,2,-50,4.5
1788965272.372535,serverless_predictive_fixed:cyclical:0,0.0,79.88,2,-50,4.5
1788965272.5746827,serverless_predictive_fixed:cyclical:0,0.0,79.88,2,-50,4.5
1788965272.7765183,serverless_predictive_fixed:cyclical:0,0.0,79.88,2,-50,4.5
1788965272.9783795,serverless_predictive_fixed:cyclical:0,0.0,79.88,2,-50,4.5
