predictor,n_pairs,median_a,median_b,median_paired_diff_ms,hodges_lehmann_ms,hl_ci95_lo_ms,hl_ci95_hi_ms,wilcoxon_W,p_raw,rank_biserial_matched,signed_rank_sum_pos,signed_rank_sum_neg,p_holm_adjusted,significant_at_0.05_after_holm4
"Serverless (predictive, EWMA)",15,69.27416500002437,548.2449410010304,-242.6612050003314,-246.1259917499774,-436.1397170005148,-35.48761250021926,6.0,0.0008544921875,-0.9,6.0,114.0,0.001708984375,True
"Serverless (predictive, last-gap)",15,71.20353900063492,548.2449410010304,-248.36345200128562,-243.93089324939865,-431.0116899996501,-14.97621799899207,2.0,0.00018310546875,-0.9666666666666667,2.0,118.0,0.00054931640625,True
"Serverless (predictive, moving avg.)",15,69.6042050003598,548.2449410010304,-65.38014499892597,-244.10227550015406,-435.7989774989619,-32.293735000166635,6.0,0.0008544921875,-0.9,6.0,114.0,0.001708984375,True
"Serverless (predictive, fixed-schedule)",15,69.38904100024956,548.2449410010304,-464.3460490005964,-259.770144000413,-490.66059649976523,-232.4176800002533,0.0,6.103515625e-05,-1.0,0.0,120.0,0.000244140625,True
