policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,startup_lead_s
serverless_predictive_ewma,cyclical,3,15,1,14,61,0,0,4,3,9.384033611297609,ewma,True,0.5
serverless_predictive_ewma,cyclical,4,15,2,13,62,0,0,4,3,9.776898126602173,ewma,True,0.5
serverless_predictive_ewma,cyclical,5,15,1,14,61,0,0,4,3,9.271940889358522,ewma,True,0.5
serverless_predictive_lastgap,cyclical,0,15,2,13,62,0,0,4,3,10.474308729171753,lastgap,True,0.5
serverless_predictive_lastgap,cyclical,1,15,2,13,62,0,0,4,3,8.60451865196228,lastgap,True,0.5
serverless_predictive_lastgap,cyclical,2,15,3,12,63,0,0,4,3,9.885772705078125,lastgap,True,0.5
serverless_predictive_lastgap,cyclical,3,15,1,14,61,0,0,4,3,8.9365816116333,lastgap,True,0.5
serverless_predictive_lastgap,cyclical,4,15,2,13,62,0,0,4,3,9.69840693473816,lastgap,True,0.5
serverless_predictive_lastgap,cyclical,5,15,1,14,61,0,0,4,3,8.787673234939575,lastgap,True,0.5
serverless_predictive_movavg,cyclical,0,15,3,12,63,0,0,4,3,9.474522054195404,movavg,True,0.5
serverless_predictive_movavg,cyclical,1,15,2,13,62,0,0,4,3,9.21915489435196,movavg,True,0.5
serverless_predictive_movavg,cyclical,2,15,3,12,63,0,0,4,3,9.554516017436981,movavg,True,0.5
serverless_predictive_movavg,cyclical,3,15,1,14,61,0,0,4,3,9.474388599395752,movavg,True,0.5
serverless_predictive_movavg,cyclical,4,15,2,13,62,0,0,4,3,9.8424551486969,movavg,True,0.5
serverless_predictive_movavg,cyclical,5,15,1,14,61,0,0,4,3,9.299932897090912,movavg,True,0.5
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,9.0,fixed,True,0.5
serverless_predictive_ewma,cyclical,0,15,3,12,63,0,0,4,3,9.553287042617798,ewma,True,1.5
serverless_predictive_ewma,cyclical,1,15,3,12,63,0,0,4,3,9.01974912071228,ewma,True,1.5
serverless_predictive_ewma,cyclical,2,15,3,12,63,0,0,4,3,9.646540466308593,ewma,True,1.5
serverless_predictive_ewma,cyclical,3,15,3,12,63,0,0,4,3,9.346175872802734,ewma,True,1.5
serverless_predictive_ewma,cyclical,4,15,3,12,63,0,0,4,3,9.670592271804809,ewma,True,1.5
serverless_predictive_ewma,cyclical,5,15,3,12,63,0,0,4,3,9.211774866104125,ewma,True,1.5
serverless_predictive_lastgap,cyclical,0,15,3,12,63,0,0,4,3,10.185794591903687,lastgap,True,1.5
serverless_predictive_lastgap,cyclical,1,15,3,12,63,0,0,4,3,8.644005060195923,lastgap,True,1.5
serverless_predictive_lastgap,cyclical,2,15,3,12,63,0,0,4,3,9.876675605773926,lastgap,True,1.5
serverless_predictive_lastgap,cyclical,3,15,3,12,63,0,0,4,3,8.894948244094849,lastgap,True,1.5
serverless_predictive_lastgap,cyclical,4,15,3,12,63,0,0,4,3,9.42025876045227,lastgap,True,1.5
serverless_predictive_lastgap,cyclical,5,15,3,12,63,0,0,4,3,8.759269714355469,lastgap,True,1.5
serverless_predictive_movavg,cyclical,0,15,3,12,63,0,0,4,3,9.421253502368927,movavg,True,1.5
