comparison,n_pairs,median_a,median_b,median_paired_diff_ms,hodges_lehmann_ms,hl_ci95_lo_ms,hl_ci95_hi_ms,wilcoxon_W,p_raw,rank_biserial_matched,signed_rank_sum_pos,signed_rank_sum_neg,p_holm_adjusted,significant_at_0.05_after_holm6
"Serverless (predictive, EWMA) vs Serverless (predictive, last-gap)",15,69.27416500002437,71.20353900063492,0.9530690003884956,-0.10204299996985355,-18.07974050007033,1.6348799990737461,59.0,0.97796630859375,-0.016666666666666666,59.0,61.0,1.0,False
"Serverless (predictive, EWMA) vs Serverless (predictive, moving avg.)",15,69.27416500002437,69.6042050003598,0.46890799967513885,0.6687489999421796,-23.858530500547197,3.764543000215774,49.0,0.5614013671875,0.18333333333333332,71.0,49.0,1.0,False
"Serverless (predictive, EWMA) vs Serverless (predictive, fixed-schedule)",15,69.27416500002437,69.38904100024956,1.9268209998699604,26.15421775089999,0.3446235004957998,134.6806989995457,21.0,0.02557373046875,0.65,99.0,21.0,0.102294921875,False
"Serverless (predictive, last-gap) vs Serverless (predictive, moving avg.)",15,71.20353900063492,69.6042050003598,0.5868939988431521,1.4739350012860033,-1.3753690000157803,5.526066001038998,43.0,0.359130859375,0.2833333333333333,77.0,43.0,1.0,False
"Serverless (predictive, last-gap) vs Serverless (predictive, fixed-schedule)",15,71.20353900063492,69.38904100024956,7.843086001230404,26.399836749988026,1.0650615013219067,131.99507250010356,13.0,0.00537109375,0.7833333333333333,107.0,13.0,0.0322265625,True
"Serverless (predictive, moving avg.) vs Serverless (predictive, fixed-schedule)",15,69.6042050003598,69.38904100024956,3.0826160000287928,23.97225750064536,0.7192460006990586,199.8247365008865,18.0,0.01507568359375,0.7,102.0,18.0,0.07537841796875,False
