comparison,n_pairs,median_a,median_b,median_paired_diff_ms,hodges_lehmann_ms,hl_ci95_lo_ms,hl_ci95_hi_ms,wilcoxon_W,p_raw,rank_biserial_matched,signed_rank_sum_pos,signed_rank_sum_neg
Container vs Reactive,15,13.741276999780894,620.4223029999412,-606.140928999821,-605.3482384999711,-612.7829950000887,-597.2507019999966,0.0,6.103515625e-05,-1.0,0.0,120.0
Container vs EWMA,15,13.741276999780894,563.8146950000191,-549.4851559999461,-424.5805269998755,-604.8991730000353,-308.596269499958,0.0,6.103515625e-05,-1.0,0.0,120.0
Container vs Last-gap,15,13.741276999780894,558.7544489999345,-545.9175519997643,-426.6663960000301,-587.1736969997983,-363.45822299995234,0.0,6.103515625e-05,-1.0,0.0,120.0
Container vs Moving-average,15,13.741276999780894,495.2282029998969,-481.486926000116,-412.4871169998414,-586.1537520004276,-274.1617189998351,0.0,6.103515625e-05,-1.0,0.0,120.0
Container vs Fixed-schedule,15,13.741276999780894,153.53550300005736,-139.58594099995025,-139.52949150024097,-140.98311249995277,-137.43712549978682,0.0,6.103515625e-05,-1.0,0.0,120.0
