condition,idle_timeout_s,n_trials,mean_cpu_s_per_trial,mean_gb_s_per_trial
6.0s,6.0,15,5.871773211892446,5.250099160528043
8.0s,8.0,15,5.277842405676841,6.290811792033492
10.0s,10.0,15,1.5015537196556727,6.2242497941250905
12.0s,12.0,15,1.405036286608378,6.209127315221742
