pair,n_pairs,median_a,median_b,median_paired_diff_ms,hodges_lehmann_ms,hl_ci95_lo_ms,hl_ci95_hi_ms,wilcoxon_W,p_raw,rank_biserial_matched,signed_rank_sum_pos,signed_rank_sum_neg,p_holm,sig_holm6
ewma vs lastgap,15,0.6639,0.518,0.09820000000000007,0.13657500000000003,0.021950000000000025,0.23085000000000006,16.0,0.01025390625,0.7333333333333333,104.0,16.0,0.0615234375,No
ewma vs movavg,15,0.6639,0.6969,0.0257,0.015775000000000025,-0.028749999999999942,0.044850000000000056,47.0,0.48870849609375,0.21666666666666667,73.0,47.0,0.48870849609375,No
ewma vs fixed,15,0.6639,0.4907,0.15440000000000004,0.16747499999999998,0.024599999999999983,0.32805,22.0,0.0301513671875,0.6333333333333333,98.0,22.0,0.12060546875,No
lastgap vs movavg,15,0.518,0.6969,-0.14100000000000001,-0.122625,-0.2239,-0.003700000000000009,23.0,0.03533935546875,-0.6166666666666667,23.0,97.0,0.12060546875,No
lastgap vs fixed,15,0.518,0.4907,0.06969999999999998,0.06189999999999998,-0.05320000000000001,0.13974999999999999,36.0,0.1876220703125,0.4,84.0,36.0,0.375244140625,No
movavg vs fixed,15,0.6969,0.4907,0.2942,0.15902499999999997,0.047449999999999964,0.3285,20.0,0.02154541015625,0.6666666666666666,100.0,20.0,0.10772705078125,No
