t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788950220.4422946,serverless_predictive_fixed:cyclical:0,0.0,164.84,4
1788950220.645952,serverless_predictive_fixed:cyclical:0,4.9,149.44,4
1788950220.8496852,serverless_predictive_fixed:cyclical:0,103.1,117.23,3
1788950221.053478,serverless_predictive_fixed:cyclical:0,58.9,79.75,2
1788950221.2555742,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950221.45753,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950221.6595917,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950221.8622162,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950222.0645528,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950222.2665412,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950222.4686947,serverless_predictive_fixed:cyclical:0,0.0,79.75,2
1788950222.67091,serverless_predictive_fixed:cyclical:0,9.8,127.03,4
1788950222.8740125,serverless_predictive_fixed:cyclical:0,192.0,152.99,4
1788950223.0769742,serverless_predictive_fixed:cyclical:0,157.6,164.98,4
1788950223.2791066,serverless_predictive_fixed:cyclical:0,9.8,164.98,4
1788950223.4812953,serverless_predictive_fixed:cyclical:0,4.9,164.98,4
1788950223.6838768,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950223.8862221,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950224.0892603,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950224.2918103,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950224.4944634,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950224.6971595,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950224.8996563,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950225.1020007,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950225.304428,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950225.5070426,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950225.7094004,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950225.911832,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950226.1141284,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950226.3166084,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950226.5189254,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950226.7215848,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950226.9239671,serverless_predictive_fixed:cyclical:0,4.9,164.98,4
1788950227.126304,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950227.328918,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950227.5314612,serverless_predictive_fixed:cyclical:0,4.9,164.98,4
1788950227.7339313,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950227.9363828,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950228.1388302,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950228.3413281,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950228.543704,serverless_predictive_fixed:cyclical:0,4.9,164.98,4
1788950228.7460482,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950228.9485123,serverless_predictive_fixed:cyclical:0,0.0,164.98,4
1788950229.1508765,serverless_predictive_fixed:cyclical:0,0.0,122.38,3
1788950229.3532588,serverless_predictive_fixed:cyclical:0,9.8,132.99,4
1788950229.5562599,serverless_predictive_fixed:cyclical:0,103.4,114.62,3
1788950229.7584379,serverless_predictive_fixed:cyclical:0,98.9,79.66,2
1788950229.9606042,serverless_predictive_fixed:cyclical:0,4.9,79.81,2
1788950230.162674,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950230.3657088,serverless_predictive_fixed:cyclical:0,4.9,79.81,2
1788950230.5681167,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950230.770643,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950230.973269,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950231.1755724,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950231.3778536,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950231.5800886,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950231.783165,serverless_predictive_fixed:cyclical:0,0.0,79.81,2
1788950231.9858458,serverless_predictive_fixed:cyclical:0,0.0,96.84,4
1788950232.1963696,serverless_predictive_fixed:cyclical:0,194.9,144.4,4
1788950232.4036024,serverless_predictive_fixed:cyclical:0,197.8,158.86,4
1788950232.6060596,serverless_predictive_fixed:cyclical:0,59.3,165.12,4
1788950232.808415,serverless_predictive_fixed:cyclical:0,4.9,165.12,4
1788950233.010494,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950233.2127879,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950233.4149823,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950233.6171062,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950233.8194675,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950234.0218892,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950234.224361,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950234.426492,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950234.6290567,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950234.831762,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950235.0342298,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950235.2364302,serverless_predictive_fixed:cyclical:0,4.9,165.12,4
1788950235.4388251,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950235.64141,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950235.8439124,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950236.0461571,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950236.248581,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950236.4510438,serverless_predictive_fixed:cyclical:0,9.8,165.12,4
1788950236.653077,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950236.855744,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950237.0584822,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950237.260737,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950237.463626,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950237.6657946,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950237.8681607,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950238.0704048,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950238.272615,serverless_predictive_fixed:cyclical:0,4.9,165.12,4
1788950238.4752915,serverless_predictive_fixed:cyclical:0,0.0,165.12,4
1788950238.6774714,serverless_predictive_fixed:cyclical:0,0.0,122.55,3
1788950238.8801873,serverless_predictive_fixed:cyclical:0,4.9,140.98,4
1788950239.0821342,serverless_predictive_fixed:cyclical:0,99.0,73.93,2
1788950239.2841253,serverless_predictive_fixed:cyclical:0,89.1,79.92,2
1788950239.486461,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950239.689122,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950239.8911,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950240.0936394,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950240.2960641,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950240.4980676,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950240.700233,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950240.9022067,serverless_predictive_fixed:cyclical:0,0.0,79.92,2
1788950241.105347,serverless_predictive_fixed:cyclical:0,14.8,126.61,4
1788950241.311799,serverless_predictive_fixed:cyclical:0,188.8,153.25,4
1788950241.5146022,serverless_predictive_fixed:cyclical:0,138.0,165.18,4
1788950241.7169268,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950241.9192677,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950242.1217275,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950242.3240077,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950242.526672,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950242.7296093,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950242.9321072,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950243.134316,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950243.3365467,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950243.538683,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950243.7414284,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950243.9444222,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950244.1465778,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950244.348784,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950244.5511425,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950244.753372,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950244.9556017,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950245.1576662,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950245.3599694,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950245.5621068,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950245.7641766,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950245.967388,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950246.1694906,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950246.3716443,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950246.5742238,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950246.7765942,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950246.9799116,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950247.182164,serverless_predictive_fixed:cyclical:0,0.0,165.18,4
1788950247.3854227,serverless_predictive_fixed:cyclical:0,4.9,165.18,4
1788950247.5881255,serverless_predictive_fixed:cyclical:0,0.0,122.53,3
1788950247.7907536,serverless_predictive_fixed:cyclical:0,0.0,128.75,4
1788950247.9929342,serverless_predictive_fixed:cyclical:0,98.9,113.26,3
1788950248.1948504,serverless_predictive_fixed:cyclical:0,109.0,78.15,2
1788950248.396857,serverless_predictive_fixed:cyclical:0,9.9,79.85,2
1788950248.5994456,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950248.802226,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950249.0043077,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950249.2062764,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950249.4083111,serverless_predictive_fixed:cyclical:0,4.9,79.85,2
1788950249.610666,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950249.8127055,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950250.0146613,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950250.2171884,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950250.420355,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950250.6227353,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950250.8249302,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950251.028176,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950251.2302585,serverless_predictive_fixed:cyclical:0,0.0,79.85,2
1788950251.4328463,serverless_predictive_fixed:cyclical:0,14.8,133.66,4
1788950251.6351666,serverless_predictive_fixed:cyclical:0,197.7,154.08,4
1788950252.5849206,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950252.7869184,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950252.9890902,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950253.1910377,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950253.3930418,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950253.5955658,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950253.797538,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950253.999723,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950254.2018306,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950254.403855,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950254.6058614,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950254.8078458,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950255.0097473,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950255.2119455,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950255.4139686,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950255.616042,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950255.8183093,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
