condition,n_trials,mean_of_median_ms,mean_p95_ms,mean_p99_ms,mean_cold_start_rate
+10pct_9.9s,6,502.47353100003994,800.2323648499972,819.603006476557,0.15777777777777777
+25pct_11.25s,6,748.0159026667176,834.5540663499681,849.9449529067989,0.19111111111111112
+50pct_13.5s,6,754.8189571665868,825.8545467666636,847.6751233566878,0.20000000000000004
-10pct_8.1s,6,150.01233649995052,774.9871027166288,795.4057342533603,0.14666666666666667
-25pct_6.75s,6,150.36314333334153,780.1549622334088,830.9140167099737,0.14666666666666667
-50pct_4.5s,6,147.9002158332984,803.1947766999906,821.8242094800394,0.14666666666666667
