policy,scenario,trial,seed,n_requests,n_ok,n_cold,run_label
serverless_predictive_movavg,bimodal,2,648489032,75,75,13,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,3,935813934,75,75,10,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,4,1355708746,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,5,648439813,75,75,3,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,6,915453088,75,75,6,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,7,1253379999,75,75,7,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,8,2567584669,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,9,2392559071,75,75,7,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,10,3002655295,75,75,5,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,11,1996690401,75,75,5,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,12,3580312827,75,75,8,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,13,3418361201,75,75,7,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,14,1313658406,75,75,6,serverless_predictive_movavg
serverless_predictive_fixed,bimodal,0,3124196139,75,75,5,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,1,70863820,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,2,648489032,75,75,11,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,3,935813934,75,75,9,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,4,1355708746,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,5,648439813,75,75,3,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,6,915453088,75,75,5,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,7,1253379999,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,8,2567584669,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,9,2392559071,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,10,3002655295,75,75,5,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,11,1996690401,75,75,6,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,12,3580312827,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,13,3418361201,75,75,7,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,14,1313658406,75,75,6,serverless_predictive_fixed
