policy,n_trials,mean_of_trial_median_ms,mean_p95_ms,mean_p99_ms,mean_cold_start_rate,policy_label
container,15,13.582854000014777,23.924932900123775,24.584815686681395,0.0,Container
serverless_reactive,15,372.345741800018,686.384853526688,699.4003790719993,0.10933333333333332,Serverless (reactive)
serverless_keepalive10,15,362.34489859962196,661.9993466665741,676.7113439934669,0.10666666666666667,Serverless (keep-alive 10s)
serverless_predictive_ewma,15,130.02194179995664,648.037354359767,668.1160398652526,0.09333333333333334,"Serverless (predictive, EWMA)"
serverless_predictive_lastgap,15,135.47736440013978,654.6707441399727,676.6805490999395,0.09333333333333334,"Serverless (predictive, last-gap)"
serverless_predictive_movavg,15,143.1205097334896,650.9477286867817,671.5599695255103,0.09422222222222222,"Serverless (predictive, moving avg.)"
serverless_predictive_fixed,15,73.03125639967523,629.3344213932627,647.638149937217,0.08800000000000001,"Serverless (predictive, fixed-schedule)"
