sweep_pct,n_trials,mean_cpu_s_per_trial,mean_gb_s_per_trial
-50,15,4.83299195283254,5.557112797432191
-25,15,6.509582833115259,5.5485452753059405
-10,15,5.48211901743412,5.5041748903247845
10,15,5.557399986282985,5.262845889235692
25,15,5.16173601295948,5.251916803012913
50,15,5.216824446749687,5.261174669140639
