t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788432735.1822507,container:low:1,0.0,163.69,4
1788432735.3840504,container:low:1,0.0,163.69,4
1788432735.5865586,container:low:1,4.9,163.69,4
1788432735.7886827,container:low:1,0.0,163.69,4
1788432735.9907894,container:low:1,4.9,163.69,4
1788432736.1926363,container:low:1,0.0,163.69,4
1788432736.3943691,container:low:1,0.0,163.69,4
1788432736.5960138,container:low:1,5.0,163.69,4
1788432736.7977693,container:low:1,0.0,163.69,4
1788432738.2709954,container:low:2,0.0,163.77,4
1788432738.4729533,container:low:2,5.0,163.8,4
1788432738.6766193,container:low:2,4.9,163.87,4
1788432738.8791037,container:low:2,4.9,163.87,4
1788432739.0814755,container:low:2,0.0,163.87,4
1788432739.2837875,container:low:2,0.0,163.87,4
1788432739.4859266,container:low:2,0.0,163.87,4
1788432739.6885755,container:low:2,0.0,163.87,4
1788432739.8909268,container:low:2,4.9,163.87,4
1788432740.0933366,container:low:2,0.0,163.87,4
1788432740.2966223,container:low:2,0.0,163.87,4
1788432740.4985607,container:low:2,0.0,163.87,4
1788432740.700486,container:low:2,0.0,163.88,4
1788432740.9032342,container:low:2,4.9,163.89,4
1788432741.1055696,container:low:2,4.9,163.89,4
1788432741.3075678,container:low:2,5.0,163.89,4
1788432741.5093248,container:low:2,0.0,163.89,4
1788432741.7125094,container:low:2,0.0,163.89,4
1788432741.914655,container:low:2,0.0,163.9,4
1788432742.1170685,container:low:2,4.9,163.9,4
1788432742.319135,container:low:2,0.0,163.91,4
1788432742.5213513,container:low:2,0.0,163.91,4
1788432742.7228792,container:low:2,0.0,163.91,4
1788432742.925417,container:low:2,0.0,163.91,4
1788432743.127711,container:low:2,0.0,163.91,4
1788432743.3300054,container:low:2,0.0,163.91,4
1788432743.5334706,container:low:2,0.0,163.91,4
1788432743.7359629,container:low:2,9.8,163.91,4
1788432743.9385831,container:low:2,4.9,163.91,4
1788432744.1411903,container:low:2,0.0,163.91,4
1788432744.3435168,container:low:2,0.0,163.91,4
1788432744.5452862,container:low:2,5.0,163.91,4
1788432744.7492392,container:low:2,0.0,163.91,4
1788432744.9516897,container:low:2,0.0,163.91,4
1788432745.153514,container:low:2,5.0,163.91,4
