policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,run_label
serverless_predictive_ewma,bimodal,12,9,1,8,67,0,0,4,3,10.019291210174561,ewma,True,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,13,9,2,7,68,0,0,4,3,7.999900239944457,ewma,True,serverless_predictive_ewma
serverless_predictive_ewma,bimodal,14,6,0,6,69,0,0,4,3,6.053788646697998,ewma,True,serverless_predictive_ewma
serverless_predictive_lastgap,bimodal,0,7,2,5,70,1,0,4,3,3.7811830043792725,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,1,9,1,8,67,0,0,4,3,3.222933053970337,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,2,15,2,13,62,0,0,4,3,11.470784187316895,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,3,12,2,10,65,0,0,4,3,4.811704397201538,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,4,9,1,8,67,0,0,4,3,11.042239427566528,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,5,3,0,3,72,0,0,4,3,4.838494300842285,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,6,6,0,6,69,0,0,4,3,5.433978319168091,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,7,9,2,7,68,0,0,4,3,2.90582275390625,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,8,11,4,7,68,2,0,4,3,17.711360216140747,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,9,10,3,7,68,1,0,4,3,16.9080867767334,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,10,7,2,5,70,1,0,4,3,2.619582414627075,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,11,6,1,5,70,0,0,4,3,6.240267515182495,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,12,10,2,8,67,1,0,4,3,6.099228143692017,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,13,9,2,7,68,0,0,4,3,5.964032411575317,lastgap,True,serverless_predictive_lastgap
serverless_predictive_lastgap,bimodal,14,6,0,6,69,0,0,4,3,4.113330125808716,lastgap,True,serverless_predictive_lastgap
serverless_predictive_movavg,bimodal,0,7,2,5,70,1,0,4,3,7.362042605876923,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,1,9,1,8,67,0,0,4,3,9.80558967590332,movavg,True,serverless_predictive_movavg
