condition,n_trials,mean_of_median_ms,mean_p95_ms,mean_p99_ms,mean_cold_start_rate
10.0s,6,52.246037166696624,767.8183347833814,788.8087216332998,0.04
12.0s,6,51.939630666690086,776.1451587667201,805.0206497299861,0.04
8.0s,6,763.1604379998862,857.6103705500524,875.8744535766241,0.19555555555555557
