t,label,cpu_pct_sum,rss_mb_sum,n_procs,startup_lead_s
1788975460.2505395,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975460.45235,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975460.6543038,serverless_predictive_ewma:cyclical:0,5.0,164.88,4,0.1
1788975460.8561392,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975461.058387,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975461.2601526,serverless_predictive_ewma:cyclical:0,0.0,164.88,4,0.1
1788975461.4619954,serverless_predictive_ewma:cyclical:0,5.0,164.89,4,0.1
1788975461.6639137,serverless_predictive_ewma:cyclical:0,0.0,164.89,4,0.1
1788975461.8657913,serverless_predictive_ewma:cyclical:0,0.0,164.89,4,0.1
1788975462.0676217,serverless_predictive_ewma:cyclical:0,0.0,164.89,4,0.1
1788975462.2695987,serverless_predictive_ewma:cyclical:0,5.0,164.89,4,0.1
1788975462.4716384,serverless_predictive_ewma:cyclical:0,4.9,164.95,4,0.1
1788975462.6736398,serverless_predictive_ewma:cyclical:0,0.0,122.27,3,0.1
1788975462.8755958,serverless_predictive_ewma:cyclical:0,5.0,37.09,1,0.1
1788975463.0776584,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975463.2799413,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975463.481573,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975463.683166,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975463.8847911,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975464.086503,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975464.28804,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975464.4897144,serverless_predictive_ewma:cyclical:0,0.0,37.09,1,0.1
1788975464.6947143,serverless_predictive_ewma:cyclical:0,4.9,77.82,4,0.1
1788975464.8963866,serverless_predictive_ewma:cyclical:0,193.4,128.58,4,0.1
1788975465.0986733,serverless_predictive_ewma:cyclical:0,192.8,152.98,4,0.1
1788975465.3004615,serverless_predictive_ewma:cyclical:0,168.5,165.0,4,0.1
1788975465.5023608,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975465.7042084,serverless_predictive_ewma:cyclical:0,5.0,165.0,4,0.1
1788975465.9061341,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975466.1086857,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975466.3106508,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975466.5126061,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975466.7145405,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975466.916438,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975467.1183739,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975467.3202786,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975467.5222256,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975467.7246387,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975467.9265184,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975468.1285925,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975468.3307312,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975468.533403,serverless_predictive_ewma:cyclical:0,4.9,165.0,4,0.1
1788975468.7358232,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975468.9380069,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
