t,request_id,cycle_id,latency_ms,queue_ms,cold_ms,service_ms,status,cold,ok,err
1788976334.9018164,1,0,673.1084819984972,0.0,664.488,2.986,200,1,True,
1788976334.903397,2,0,674.3025160012621,0.0,664.304,1.459,200,1,True,
1788976334.8572383,3,0,627.5459410007898,0.0,612.549,1.599,200,1,True,
1788976334.8716395,4,0,641.6495329995087,614.542,0.0,6.644,200,0,True,
1788976334.8814015,5,0,651.216080001177,630.386,0.0,1.21,200,0,True,
1788976334.9017322,6,0,671.3820820004912,646.3,0.0,5.54,200,0,True,
1788976334.9138803,7,0,683.2510430012917,662.184,0.0,1.85,200,0,True,
1788976334.9142797,8,0,683.3920129993203,662.213,0.0,2.394,200,0,True,
1788976334.9139218,9,0,682.5317279999581,662.216,0.0,1.887,200,0,True,
1788976334.930305,10,0,698.6627559999761,679.063,0.0,1.66,200,0,True,
1788976334.9306617,11,0,698.7875129998429,679.074,0.0,1.825,200,0,True,
1788976334.9314115,12,0,699.2858910016366,679.07,0.0,2.355,200,0,True,
1788976334.948233,13,0,715.9008670005278,696.235,0.0,2.379,200,0,True,
1788976334.9481552,14,0,715.5773860013142,696.245,0.0,1.442,200,0,True,
1788976334.9481096,15,0,715.3095379999286,696.241,0.0,1.169,200,0,True,
1788976343.8118384,16,1,535.2665000009438,0.0,531.56,1.504,200,1,True,
1788976343.7907033,17,1,513.9070299992454,0.0,504.989,1.961,200,1,True,
1788976343.7806144,18,1,503.7471830000868,489.074,0.0,1.46,200,0,True,
1788976343.796037,19,1,519.1076769988285,505.225,0.0,1.024,200,0,True,
1788976343.7964153,20,1,519.4166549990769,505.244,0.0,1.292,200,0,True,
1788976343.8126082,21,1,535.5538620005973,520.558,0.0,2.0,200,0,True,
1788976343.8125684,22,1,535.4111679989728,520.558,0.0,1.765,200,0,True,
1788976343.8284705,23,1,551.2430489998223,537.027,0.0,1.096,200,0,True,
1788976343.8285089,24,1,551.2163130006229,537.034,0.0,1.218,200,0,True,
1788976343.8285682,25,1,551.1902469988854,537.034,0.0,1.575,200,0,True,
1788976343.8445766,26,1,567.1304839997902,553.064,0.0,1.134,200,0,True,
1788976343.8446147,27,1,567.108590999851,553.1,0.0,1.205,200,0,True,
1788976343.8446784,28,1,567.0938109997223,553.101,0.0,1.678,200,0,True,
1788976343.8603156,29,1,582.4938759997167,569.359,0.0,1.163,200,0,True,
1788976343.8604867,30,1,582.6036620001105,569.367,0.0,1.245,200,0,True,
1788976352.7631042,31,2,8.751287999984925,0.0,0.0,4.01,200,0,True,
1788976353.1258104,32,2,371.2149370003317,0.0,366.633,1.962,200,1,True,
1788976353.1461604,33,2,391.48817700151994,0.0,386.592,1.386,200,1,True,
1788976352.7757866,34,2,21.052452000731137,15.574,0.0,1.179,200,0,True,
1788976352.7973218,35,2,42.52834999897459,34.493,0.0,1.129,200,0,True,
1788976352.810568,36,2,55.718244999297895,50.488,0.0,1.013,200,0,True,
1788976352.8265698,37,2,71.6631609993783,66.474,0.0,1.023,200,0,True,
1788976352.8421602,38,2,87.19655700042495,81.873,0.0,1.209,200,0,True,
1788976352.858301,39,2,103.28072000083921,98.139,0.0,1.091,200,0,True,
1788976352.8776581,40,2,122.5824110006215,113.553,0.0,5.048,200,0,True,
1788976352.8933082,41,2,138.16982699972868,129.461,0.0,1.002,200,0,True,
1788976352.9048824,42,2,149.668952999491,144.783,0.0,1.05,200,0,True,
1788976352.9217482,43,2,166.419932998906,161.723,0.0,0.988,200,0,True,
1788976352.942448,44,2,186.94266899910872,182.428,0.0,0.923,200,0,True,
1788976352.9592457,45,2,203.64916900143726,199.222,0.0,0.967,200,0,True,
1788976362.0674107,46,3,422.87378199944214,0.0,413.956,6.075,200,1,True,
1788976362.2357993,47,3,591.0145649995684,0.0,585.626,1.533,200,1,True,
1788976362.2763538,48,3,631.4832619991648,0.0,625.749,1.345,200,1,True,
1788976362.0818298,49,3,436.8942599994625,420.938,0.0,6.733,200,0,True,
1788976362.09366,50,3,448.6651939987496,438.119,0.0,1.465,200,0,True,
1788976362.1088386,51,3,463.78662399911263,453.653,0.0,1.237,200,0,True,
1788976362.1305132,52,3,485.2837290000025,469.484,0.0,7.052,200,0,True,
1788976362.1399531,53,3,494.63266000020667,484.9,0.0,1.17,200,0,True,
1788976362.157572,54,3,512.185211000542,500.594,0.0,3.053,200,0,True,
1788976362.1716797,55,3,526.2241609998455,516.524,0.0,1.212,200,0,True,
1788976362.187594,56,3,542.0835620006983,531.726,0.0,1.898,200,0,True,
1788976362.2057369,57,3,560.1726910008438,547.72,0.0,4.004,200,0,True,
1788976362.2197673,58,3,574.1504460002034,564.535,0.0,1.151,200,0,True,
1788976362.2369773,59,3,591.1796170003072,580.189,0.0,2.616,200,0,True,
1788976362.251095,60,3,605.2310670002043,595.415,0.0,1.283,200,0,True,
1788976372.0553987,61,4,12.914720000480884,0.0,0.0,4.588,200,0,True,
1788976372.4577339,62,4,415.02162299912015,0.0,410.392,2.085,200,1,True,
1788976372.4781837,63,4,435.3858530012076,0.0,426.833,1.35,200,1,True,
1788976372.0681393,64,4,25.267737999456585,16.101,0.0,1.291,200,0,True,
1788976372.0870793,65,4,44.1465160001826,34.923,0.0,1.361,200,0,True,
1788976372.1053956,66,4,62.367069000174524,50.376,0.0,1.431,200,0,True,
1788976372.1218657,67,4,78.76846900035162,65.957,0.0,5.063,200,0,True,
1788976372.1334887,68,4,90.3293740011577,81.409,0.0,1.267,200,0,True,
1788976372.148789,69,4,105.57057400001213,96.814,0.0,1.196,200,0,True,
1788976372.1667225,70,4,123.44755100093607,114.84,0.0,1.108,200,0,True,
1788976372.1845717,71,4,141.24159599850827,129.66,0.0,3.79,200,0,True,
1788976372.19749,72,4,154.1061960015213,144.827,0.0,1.559,200,0,True,
1788976372.2176557,73,4,174.2186520004907,161.457,0.0,5.111,200,0,True,
1788976372.230592,74,4,186.99665799977083,178.481,0.0,1.066,200,0,True,
1788976372.2533026,75,4,209.64275500045915,194.615,0.0,4.034,200,0,True,
